day_of_month,day_of_week,op_unique_carrier,origin_city_name,origin_state_abr,dest_city_name,dest_state_abr,crs_dep_time,dep_delay,crs_arr_time,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
6,4,UA,"Santa Ana, CA",CA,"Newark, NJ",NJ,1248,-5.0,2107,29.0,319.0,353.0,265.0,2434.0,0.0,0.0,29.0,0.0,0.0
6,4,AA,"Phoenix, AZ",AZ,"Fresno, CA",CA,1404,79.0,1543,74.0,99.0,94.0,78.0,493.0,0.0,0.0,0.0,0.0,74.0
20,4,F9,"Las Vegas, NV",NV,"Miami, FL",FL,49,115.0,819,104.0,270.0,259.0,237.0,2174.0,8.0,0.0,0.0,0.0,96.0
16,7,UA,"Honolulu, HI",HI,"San Francisco, CA",CA,1345,-6.0,2150,15.0,305.0,326.0,290.0,2398.0,0.0,0.0,15.0,0.0,0.0
23,7,NK,"Orlando, FL",FL,"Atlanta, GA",GA,1647,49.0,1830,52.0,103.0,106.0,58.0,404.0,10.0,0.0,3.0,0.0,39.0
13,4,G4,"Valparaiso, FL",FL,"Cincinnati, OH",KY,1535,162.0,1827,170.0,112.0,120.0,79.0,600.0,162.0,0.0,8.0,0.0,0.0
15,6,AA,"Austin, TX",TX,"Phoenix, AZ",AZ,849,56.0,925,53.0,156.0,153.0,131.0,872.0,53.0,0.0,0.0,0.0,0.0
1,6,UA,"Houston, TX",TX,"Washington, DC",VA,1805,781.0,2159,767.0,174.0,160.0,142.0,1208.0,0.0,767.0,0.0,0.0,0.0
10,1,OO,"Dallas/Fort Worth, TX",TX,"Grand Island, NE",NE,2116,87.0,2310,85.0,114.0,112.0,83.0,561.0,85.0,0.0,0.0,0.0,0.0
4,2,WN,"Denver, CO",CO,"San Francisco, CA",CA,1235,16.0,1415,23.0,160.0,167.0,132.0,967.0,11.0,0.0,7.0,0.0,5.0
9,7,WN,"Denver, CO",CO,"Columbus, OH",OH,1635,39.0,2110,39.0,155.0,155.0,141.0,1154.0,6.0,0.0,0.0,0.0,33.0
24,1,B6,"Boston, MA",MA,"Cleveland, OH",OH,1455,56.0,1701,34.0,126.0,104.0,85.0,563.0,34.0,0.0,0.0,0.0,0.0
15,6,ZW,"Omaha, NE",NE,"Chicago, IL",IL,1030,39.0,1207,51.0,97.0,109.0,71.0,416.0,39.0,0.0,12.0,0.0,0.0
1,6,AA,"St. Louis, MO",MO,"Charlotte, NC",NC,1111,28.0,1356,20.0,105.0,97.0,70.0,575.0,1.0,0.0,0.0,0.0,19.0
27,4,AA,"Charlotte, NC",NC,"Newark, NJ",NJ,1915,151.0,2101,147.0,106.0,102.0,75.0,529.0,33.0,0.0,0.0,0.0,114.0
16,7,B6,"New York, NY",NY,"Salt Lake City, UT",UT,1300,235.0,1619,220.0,319.0,304.0,267.0,1990.0,65.0,0.0,0.0,0.0,155.0
27,4,G4,"Cedar Rapids/Iowa City, IA",IA,"Phoenix, AZ",AZ,2232,12.0,2344,15.0,192.0,195.0,172.0,1240.0,12.0,0.0,3.0,0.0,0.0
17,1,B6,"Denver, CO",CO,"New York, NY",NY,2359,59.0,544,42.0,225.0,208.0,189.0,1626.0,1.0,0.0,0.0,0.0,41.0
2,7,AA,"Dallas/Fort Worth, TX",TX,"Atlanta, GA",GA,834,22.0,1141,18.0,127.0,123.0,87.0,731.0,18.0,0.0,0.0,0.0,0.0
24,1,WN,"Austin, TX",TX,"Midland/Odessa, TX",TX,1945,6.0,2045,16.0,60.0,70.0,50.0,294.0,6.0,0.0,10.0,0.0,0.0
9,7,AS,"San Francisco, CA",CA,"Chicago, IL",IL,2245,43.0,500,40.0,255.0,252.0,226.0,1846.0,40.0,0.0,0.0,0.0,0.0
14,5,AA,"Charlotte, NC",NC,"Savannah, GA",GA,2027,70.0,2130,67.0,63.0,60.0,40.0,213.0,0.0,0.0,0.0,0.0,67.0
20,4,UA,"Chicago, IL",IL,"Atlanta, GA",GA,1830,21.0,2137,31.0,127.0,137.0,88.0,606.0,0.0,21.0,10.0,0.0,0.0
14,5,G4,"San Antonio, TX",TX,"Las Vegas, NV",NV,1250,181.0,1345,194.0,175.0,188.0,160.0,1069.0,0.0,0.0,13.0,0.0,181.0
17,1,B6,"New York, NY",NY,"Tampa, FL",FL,940,429.0,1239,429.0,179.0,179.0,152.0,1005.0,378.0,0.0,0.0,0.0,51.0
27,4,AA,"Dallas/Fort Worth, TX",TX,"Detroit, MI",MI,2038,23.0,14,25.0,156.0,158.0,131.0,986.0,23.0,0.0,2.0,0.0,0.0
11,2,AS,"Seattle, WA",WA,"Los Angeles, CA",CA,800,11.0,1045,33.0,165.0,187.0,137.0,954.0,11.0,0.0,22.0,0.0,0.0
30,7,AA,"Chicago, IL",IL,"Nashville, TN",TN,1940,60.0,2104,55.0,84.0,79.0,59.0,409.0,2.0,0.0,0.0,0.0,53.0
1,6,B6,"Washington, DC",VA,"Boston, MA",MA,1030,20.0,1202,24.0,92.0,96.0,67.0,399.0,19.0,0.0,4.0,0.0,1.0
17,1,F9,"Cincinnati, OH",KY,"Miami, FL",FL,1923,130.0,2157,117.0,154.0,141.0,123.0,948.0,0.0,0.0,0.0,0.0,117.0
18,2,WN,"St. Louis, MO",MO,"Dallas, TX",TX,1415,99.0,1600,87.0,105.0,93.0,80.0,546.0,18.0,0.0,0.0,0.0,69.0
13,4,AA,"Miami, FL",FL,"New York, NY",NY,1947,21.0,2251,24.0,184.0,187.0,134.0,1089.0,0.0,21.0,3.0,0.0,0.0
1,6,PT,"Roanoke, VA",VA,"Charlotte, NC",NC,700,-10.0,817,65.0,77.0,152.0,45.0,155.0,0.0,0.0,65.0,0.0,0.0
17,1,YX,"Houston, TX",TX,"New York, NY",NY,1250,65.0,1729,68.0,219.0,222.0,187.0,1416.0,30.0,0.0,3.0,0.0,35.0
12,3,AA,"Nashville, TN",TN,"Charlotte, NC",NC,1606,136.0,1825,146.0,79.0,89.0,55.0,328.0,0.0,0.0,10.0,0.0,136.0
24,1,9E,"New York, NY",NY,"Ithaca/Cortland, NY",NY,2145,153.0,2305,138.0,80.0,65.0,42.0,189.0,13.0,0.0,0.0,0.0,125.0
7,5,DL,"Austin, TX",TX,"Atlanta, GA",GA,530,-1.0,842,15.0,132.0,148.0,122.0,813.0,0.0,0.0,15.0,0.0,0.0
22,6,DL,"Salt Lake City, UT",UT,"Sacramento, CA",CA,808,65.0,900,51.0,112.0,98.0,84.0,532.0,51.0,0.0,0.0,0.0,0.0
7,5,AA,"Dallas/Fort Worth, TX",TX,"Greer, SC",SC,2045,36.0,2358,32.0,133.0,129.0,106.0,862.0,30.0,0.0,0.0,0.0,2.0
23,7,AA,"Tampa, FL",FL,"Miami, FL",FL,1730,53.0,1838,53.0,68.0,68.0,40.0,204.0,7.0,0.0,0.0,0.0,46.0
24,1,AA,"Miami, FL",FL,"Philadelphia, PA",PA,1416,34.0,1705,21.0,169.0,156.0,135.0,1013.0,0.0,0.0,0.0,0.0,21.0
5,3,WN,"San Diego, CA",CA,"Oakland, CA",CA,1915,75.0,2045,70.0,90.0,85.0,64.0,446.0,0.0,0.0,0.0,0.0,70.0
10,1,B6,"San Diego, CA",CA,"New York, NY",NY,2125,3.0,542,127.0,317.0,441.0,322.0,2446.0,0.0,3.0,124.0,0.0,0.0
9,7,WN,"Fort Lauderdale, FL",FL,"Chicago, IL",IL,2220,53.0,30,65.0,190.0,202.0,159.0,1167.0,3.0,0.0,12.0,0.0,50.0
24,1,F9,"Phoenix, AZ",AZ,"Minneapolis, MN",MN,1605,126.0,2124,152.0,199.0,225.0,160.0,1276.0,126.0,0.0,26.0,0.0,0.0
6,4,DL,"Miami, FL",FL,"New York, NY",NY,700,5.0,959,30.0,179.0,204.0,180.0,1096.0,0.0,0.0,30.0,0.0,0.0
11,2,AA,"Seattle, WA",WA,"Philadelphia, PA",PA,2258,28.0,658,32.0,300.0,304.0,281.0,2378.0,28.0,0.0,4.0,0.0,0.0
7,5,WN,"Las Vegas, NV",NV,"San Diego, CA",CA,1535,25.0,1645,25.0,70.0,70.0,43.0,258.0,21.0,0.0,0.0,0.0,4.0
10,1,AS,"San Diego, CA",CA,"Orlando, FL",FL,1115,30.0,1858,34.0,283.0,287.0,260.0,2149.0,0.0,0.0,4.0,0.0,30.0
29,6,UA,"San Francisco, CA",CA,"Houston, TX",TX,1310,41.0,1855,21.0,225.0,205.0,186.0,1635.0,21.0,0.0,0.0,0.0,0.0
7,5,B6,"Orlando, FL",FL,"Syracuse, NY",NY,1315,32.0,1600,34.0,165.0,167.0,139.0,1053.0,26.0,0.0,2.0,0.0,6.0
30,7,WN,"San Antonio, TX",TX,"St. Louis, MO",MO,1235,22.0,1440,27.0,125.0,130.0,110.0,786.0,3.0,0.0,5.0,0.0,19.0
15,6,WN,"Kansas City, MO",MO,"Nashville, TN",TN,1715,28.0,1845,28.0,90.0,90.0,77.0,491.0,0.0,0.0,0.0,0.0,28.0
29,6,UA,"Newark, NJ",NJ,"Austin, TX",TX,1459,29.0,1801,36.0,242.0,249.0,220.0,1504.0,29.0,0.0,7.0,0.0,0.0
16,7,AS,"Portland, OR",OR,"Palm Springs, CA",CA,1500,78.0,1724,76.0,144.0,142.0,125.0,873.0,0.0,0.0,0.0,0.0,76.0
26,3,9E,"New York, NY",NY,"Jacksonville, FL",FL,900,38.0,1144,37.0,164.0,163.0,124.0,828.0,37.0,0.0,0.0,0.0,0.0
4,2,OO,"Milwaukee, WI",WI,"Houston, TX",TX,1535,189.0,1840,179.0,185.0,175.0,156.0,984.0,179.0,0.0,0.0,0.0,0.0
4,2,YV,"Houston, TX",TX,"Little Rock, AR",AR,950,35.0,1120,19.0,90.0,74.0,57.0,374.0,19.0,0.0,0.0,0.0,0.0
22,6,DL,"Detroit, MI",MI,"Fort Myers, FL",FL,1839,36.0,2128,32.0,169.0,165.0,150.0,1084.0,32.0,0.0,0.0,0.0,0.0
2,7,DL,"Salt Lake City, UT",UT,"Jackson, WY",WY,1600,64.0,1707,47.0,67.0,50.0,38.0,205.0,47.0,0.0,0.0,0.0,0.0
7,5,WN,"Albuquerque, NM",NM,"Dallas, TX",TX,1415,25.0,1655,25.0,100.0,100.0,88.0,580.0,9.0,0.0,0.0,0.0,16.0
