date,station_name,degrees_from_mean,longitude,latitude,max_temp,min_temp,type
2013-05-15,BIG SPRINGS,13.27,-102.1467,41.0469,35.0,12.2,Weak Hot
2013-05-23,NESHAMINY FALLS,11.65,-74.955,40.1358,27.8,21.1,Weak Hot
2013-04-18,MISSION 14 S,-17.59,-100.6083,43.1114,-2.8,-6.1,Weak Cold
2013-09-24,YOUNGSTOWN RGNL AP,-9.8,-80.6739,41.2544,20.0,1.1,Weak Cold
2013-04-29,SNOWFLAKE,8.66,-110.0839,34.5081,28.9,2.2,Weak Hot
2013-07-16,WILLS POINT,-9.59,-96.015,32.7019,25.0,19.4,Weak Cold
2013-06-19,PALACIOS MUNI AP,4.27,-96.2536,28.7247,32.8,28.3,Weak Hot
2013-03-07,ALLARDT,-15.93,-84.8744,36.3806,-1.7,-3.9,Weak Cold
2013-03-15,ALTON,18.49,-112.4819,37.4403,20.6,2.2,Strong Hot
2013-01-13,ASHEVILLE RGNL AP,26.43,-82.5375,35.4319,20.0,11.7,Strong Hot
2013-05-21,OZONA,6.87,-101.2061,30.7169,37.2,22.2,Weak Hot
2013-02-01,LONE ROCK TRI CO AP,-13.55,-90.1814,43.2119,-14.3,-22.7,Weak Cold
2013-09-27,NEPHI,-17.73,-111.8319,39.7122,8.9,1.7,Weak Cold
2013-01-13,BOONTON 1 SE,12.55,-74.4033,40.8922,8.9,5.0,Weak Hot
2013-09-26,GOVERNMENT CAMP,-12.79,-121.7417,45.3014,4.4,2.2,Weak Cold
2013-07-15,ANTHONY,-11.12,-98.0283,37.155,23.9,17.8,Weak Cold
2013-10-03,MOLINE QUAD CITY INTL AP,13.52,-90.5233,41.4653,27.2,18.9,Weak Hot
2013-04-12,MCKINLEY PARK,-16.85,-148.9692,63.7175,-10.6,-26.1,Weak Cold
2013-06-23,HOOKER,6.43,-101.2103,36.865,36.1,22.2,Weak Hot
2013-11-25,EAST WAREHAM,-9.28,-70.6697,41.7653,1.7,-7.8,Weak Cold
2013-10-25,WINAMAC 2SSE,-11.38,-86.5867,41.0267,6.1,-3.3,Weak Cold
2013-01-13,NORWALK WWTP,32.35,-82.6167,41.2667,18.9,6.1,Strong Hot
2013-05-14,ANGELICA,-9.59,-78.0231,42.3108,14.4,-5.0,Weak Cold
2013-05-02,BOZEMAN GALLATIN FLD,-10.46,-111.1608,45.7881,17.8,-7.7,Weak Cold
2013-12-06,NEW ORLEANS INTL AP,9.71,-90.2511,29.9933,27.8,7.2,Weak Hot
2013-05-06,BATESVILLE 2 SW,-12.09,-89.9806,34.3061,15.0,6.7,Weak Cold
2013-06-02,HILL CITY MUNI AP,-10.86,-99.8297,39.3756,23.9,4.4,Weak Cold
2013-05-07,SAINT LEO,-12.48,-82.26,28.3378,25.0,12.8,Strong Cold
2013-10-30,ACADEMY 2NE,-16.45,-99.0631,43.4892,1.1,-1.1,Weak Cold
